Category,Country,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
FE|Transport|Freight|Road|Heavy,HU,4062383107194.327,4456163666982.336,5048068475677.616,4973395691563.411,4372353318970.2344,3718116972040.376,3070082798981.7246,2571228352233.3706,2276082022820.2344,0.01613726188799788
FE|Transport|Freight|Road|Heavy,IE,1350264285272.8645,1481149977755.8975,1677888665952.7595,1653068753401.2476,1453292900599.236,1235836311676.758,1020441215638.7185,854630821783.7023,756529402734.8281,0.005363740399291734
FE|Transport|Freight|Road|Heavy,IT,36439750325303.75,39971978798837.27,45281390263995.51,44611572194794.195,39220196390420.586,33351668359757.324,27538774094147.05,23064028357836.57,20416553151916.74,0.14475192974569281
FE|Transport|Freight|Road|Heavy,LT,14767911961246.146,16199415708074.168,18351157154805.23,18079700457442.844,15894741380659.752,13516407157036.941,11160619590211.742,9347142535817.465,8274202122900.951,0.05866351266464282
FE|Transport|Freight|Road|Heavy,LU,56019548316.0378,61449712954.10318,69611976126.79076,68582251571.72095,60293983000.536476,51272178882.15102,42335901650.2444,35456786597.604706,31386770642.7876,0.00022253000225958477
FE|Transport|Freight|Road|Heavy,LV,463610055029.3012,508549348585.70654,576099112773.4691,567577254386.6841,498984686901.01605,424321480404.02936,350366082622.72955,293435475290.53613,259752584629.97913,0.0018416276049069993
FE|Transport|Freight|Road|Heavy,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE|Transport|Freight|Road|Heavy,NL,1224703228702.4224,1343417862513.9282,1521861822909.937,1499349913671.513,1318151214563.5374,1120915910733.9944,925550401595.0577,775158713892.5114,686179744397.5386,0.004864966256296063
FE|Transport|Freight|Road|Heavy,PL,21492189467733.758,23575500218186.152,26706994702990.57,26311935551276.52,23132098443586.703,19670836629063.83,16242387646919.006,13603179575344.025,12041696902471.674,0.08537478638414857
FE|Transport|Freight|Road|Heavy,PT,2435884497466.4985,2672003035694.1157,3026920755030.658,2982145490756.758,2621748709092.4707,2229455778289.5454,1840881792446.9587,1541758893089.054,1364783371743.374,0.009676218374115704
FE|Transport|Freight|Road|Heavy,RO,10751889859554.734,11794106975950.387,13360698590404.941,13163062491318.082,11572286530379.604,9840722333036.955,8125573399492.28,6805257731113.139,6024095358543.707,0.04271041353713559
FE|Transport|Freight|Road|Heavy,SE,4122266072635.61,4521851291174.654,5122481277744.1875,5046707753588.355,4436805507694.947,3772925163259.228,3115338417987.1587,2609130434458.397,2309633398334.939,0.016375138786965025
FE|Transport|Freight|Road|Heavy,SI,1300039862644.6836,1426057131659.1052,1615477928735.6255,1591581217509.3489,1399236226184.9521,1189868151299.649,982484890021.2512,822841978627.2234,728389539399.91,0.00516423074209345
FE|Transport|Freight|Road|Heavy,SK,1145503177634.9165,1256540682130.5364,1423444891144.469,1402388799380.454,1232907997217.9468,1048427657831.639,865696195813.6746,725030153530.3779,641805344523.2502,0.004550354873791116
FE|Transport|Freight|Road|Light,AT,0.0025440819613162914,278056098797.52856,38628848150.90299,625584210004.3945,725799718547.3442,583652354113.3687,446339815840.05066,364876190313.11475,31916108909.533127,0.0020719569580430978
FE|Transport|Freight|Road|Light,BE,0.11388508073892349,12447099481465.85,1729209026049.2473,28004093165490.863,32490210930266.438,26127025969427.875,19980270579663.46,16333575342840.035,1428715228244.396,0.09275054382769406
FE|Transport|Freight|Road|Light,BG,0.0022026886098895798,240743423775.05774,33445197571.828445,541636328882.46246,628403800433.4324,505331358065.0497,386444950846.7951,315913025068.8806,27633248706.59849,0.001793918616246811
FE|Transport|Freight|Road|Light,CY,0.0006360204903290729,69514024699.38214,9657212037.725748,156396052501.09863,181449929636.83606,145913088528.34216,111584953960.01266,91219047578.27869,7979027227.383282,0.0005179892395107744
FE|Transport|Freight|Road|Light,CZ,0.016405587353488103,1793052931216.4116,249099263443.69,4034098177748.9165,4680340832103.083,3763699371745.7573,2878235430086.202,2352914844886.771,205811967012.20944,0.013361075383851414
FE|Transport|Freight|Road|Light,DE,0.038002224297162095,4153462975788.083,577018419254.1134,9344664136940.643,10841633295800.953,8718307039568.442,6667200999110.756,5450338092802.151,476746876836.15106,0.030949857060768773
FE|Transport|Freight|Road|Light,DK,0.0014544292095024956,158962218246.37943,22083771645.09319,357640972998.8318,414933294978.3483,333668900972.89624,255168534423.26135,208596498506.20847,18246157850.85421,0.0011845195109400665
FE|Transport|Freight|Road|Light,EE,0.00019174147134914555,20956433916.71892,2911365393.72523,47148809945.16934,54701817022.852516,43988504629.85404,33639581708.522667,27499859931.67832,2405442031.7839103,0.0001561585207348168
